structure_id,core_mof_id,formula,source_note
ABAVIJ_clean,ABAVIJ,,doi=10.1039/b404485a; partition=train; ann_probability=0.94328225
ALIXUP_clean,ALIXUP,,doi=10.1039/c001655a; partition=train; ann_probability=0.93966496
AMILOY_clean,AMILOY,,doi=10.1039/c0dt00999g; partition=train; ann_probability=0.9150335
AMILUE_clean,AMILUE,,doi=10.1039/c0dt00999g; partition=train; ann_probability=0.9319306
AMIMEP_clean,AMIMEP,,doi=10.1039/c0dt00999g; partition=train; ann_probability=0.9304241
ANOMUM_clean,ANOMUM,,doi=10.1039/c0ce00542h; partition=train; ann_probability=0.9358156
ANONAT_manual,ANONAT,,doi=10.1039/c0ce00542h; partition=train; ann_probability=0.9310417
ANUGEW_clean,ANUGEW,,doi=10.1021/ja107423k; partition=train; ann_probability=0.09760454
ANUGOG_clean,ANUGOG,,doi=10.1021/ja107423k; partition=train; ann_probability=0.14034593
AQALOU_clean,AQALOU,,doi=10.1002/zaac.201000378; partition=train; ann_probability=0.9032541
ARAHIM02_clean,ARAHIM02,,doi=10.1021/jacs.6b05345; partition=train; ann_probability=0.9273752
ARUCOH01_clean,ARUCOH01,,doi=10.1021/acs.cgd.6b00805; partition=train; ann_probability=0.09065139
ARUCUN_clean,ARUCUN,,doi=10.1021/acs.cgd.6b00805; partition=train; ann_probability=0.07949191
ARUDAU_clean,ARUDAU,,doi=10.1021/acs.cgd.6b00805; partition=train; ann_probability=0.08468908
ASACON_clean,ASACON,,doi=10.1021/ic9019553; partition=train; ann_probability=0.09786576
ASADAA_clean,ASADAA,,doi=10.1021/ic9019553; partition=train; ann_probability=0.13742125
ASAJOU_clean,ASAJOU,,doi=10.1039/c0dt01497d; partition=train; ann_probability=0.93539274
ASECUY_clean,ASECUY,,doi=10.1021/acs.cgd.6b00429; partition=train; ann_probability=0.9151547
ASINAT_clean,ASINAT,,doi=10.1021/acs.cgd.6b00795; partition=train; ann_probability=0.11491895
ASINEX_clean,ASINEX,,doi=10.1021/acs.cgd.6b00795; partition=train; ann_probability=0.075669914
ASINIB_clean,ASINIB,,doi=10.1021/acs.cgd.6b00795; partition=train; ann_probability=0.09967515
ASIVAB_clean,ASIVAB,,doi=10.1021/acs.inorgchem.6b00278; partition=train; ann_probability=0.09744924
ATIBAG_clean,ATIBAG,,doi=10.1039/b314221c; partition=train; ann_probability=0.949711
ATIBIO_clean,ATIBIO,,doi=10.1039/b314221c; partition=train; ann_probability=0.93084645
ATIBOU_clean,ATIBOU,,doi=10.1039/b314221c; partition=train; ann_probability=0.94994104
ATIBUA_clean,ATIBUA,,doi=10.1039/b314221c; partition=train; ann_probability=0.9501058
ATICEL_clean,ATICEL,,doi=10.1039/b314221c; partition=train; ann_probability=0.94862866
ATOGEV_clean,ATOGEV,,doi=10.1002/ejic.200300601; partition=train; ann_probability=0.12661919
ATOWIQ_clean,ATOWIQ,,doi=10.1039/c1cc12253c; partition=train; ann_probability=0.9392184
ATOWOW_clean,ATOWOW,,doi=10.1039/c1cc12253c; partition=train; ann_probability=0.9395359
AVELUJ_clean,AVELUJ,,doi=10.1021/cg200242n; partition=train; ann_probability=0.9384126
AVEMAQ_clean,AVEMAQ,,doi=10.1021/cg200242n; partition=train; ann_probability=0.94405776
AVESAW_clean,AVESAW,,doi=10.1021/ic100610t; partition=train; ann_probability=0.78695285
AVUPIR_SL,AVUPIR,,doi=10.1021/ic1014048; partition=train; ann_probability=0.1178163
AWAJIT_clean,AWAJIT,,doi=10.1039/C6TA05965A; partition=train; ann_probability=0.9395806
AWAWUR_clean,AWAWUR,,doi=10.1021/cg200043a; partition=train; ann_probability=0.19333506
AWIBAL_clean,AWIBAL,,doi=10.1021/acs.cgd.6b00274; partition=train; ann_probability=0.10609737
AWUPAL_clean,AWUPAL,,doi=10.1021/jacs.6b05626; partition=train; ann_probability=0.108925074
AXUHAD_clean,AXUHAD,,doi=10.1021/cg2006315; partition=train; ann_probability=0.92922336
AYOQEM_clean,AYOQEM,,doi=10.1021/acs.cgd.6b01382; partition=train; ann_probability=0.9365804
AZAVOO_clean,AZAVOO,,doi=10.1021/acs.inorgchem.5b01900; partition=train; ann_probability=0.93462753
AZAVUU_clean,AZAVUU,,doi=10.1021/acs.inorgchem.5b01900; partition=train; ann_probability=0.9151653
AZILEA_clean,AZILEA,,doi=10.1021/ic035363p; partition=train; ann_probability=0.91809744
BAKGIF_manual,BAKGIF,,doi=10.1039/c1dt11590a; partition=train; ann_probability=0.93204534
BAKJEE_clean,BAKJEE,,doi=10.1039/c1dt10901d; partition=train; ann_probability=0.92704594
BAKJII_clean,BAKJII,,doi=10.1039/c1dt10901d; partition=train; ann_probability=0.86188436
BAXFIR01_clean,BAXFIR01,,doi=10.1021/ic202626c; partition=train; ann_probability=0.09622115
BAXFIR02_clean,BAXFIR02,,doi=10.1021/ic202626c; partition=train; ann_probability=0.09563857
BAXFUD_clean,BAXFUD,,doi=10.1021/ic202626c; partition=train; ann_probability=0.13048711
BAXSIE_clean,BAXSIE,,doi=10.1002/chem.201102953; partition=train; ann_probability=0.9139613
BEDYEQ_clean,BEDYEQ,,doi=10.1002/anie.201204475; partition=train; ann_probability=0.9064028
BEFKUU_clean,BEFKUU,,doi=10.1038/41937; partition=train; ann_probability=0.92675614
BEFLAB01_clean,BEFLAB01,,doi=10.1038/41937; partition=train; ann_probability=0.8689164
BEFLEF_clean,BEFLEF,,doi=10.1038/41937; partition=train; ann_probability=0.82003987
BEFLIJ_clean,BEFLIJ,,doi=10.1038/41937; partition=train; ann_probability=0.88652325
BEFLUV_clean,BEFLUV,,doi=10.1038/41937; partition=train; ann_probability=0.8437186
BEFMAC_clean,BEFMAC,,doi=10.1038/41937; partition=train; ann_probability=0.8651651
BEFMOQ_clean,BEFMOQ,,doi=10.1038/41937; partition=train; ann_probability=0.8988243
BEFNAD_clean,BEFNAD,,doi=10.1038/41937; partition=train; ann_probability=0.863994
BEFNEH_clean,BEFNEH,,doi=10.1038/41937; partition=train; ann_probability=0.79787755
BEFNIL_clean,BEFNIL,,doi=10.1038/41937; partition=train; ann_probability=0.83918965
BEFNUX_clean,BEFNUX,,doi=10.1038/41937; partition=train; ann_probability=0.8652265
BEJZAS_clean,BEJZAS,,doi=10.1021/cm021330g; partition=train; ann_probability=0.12515792
BELYIC_clean,BELYIC,,doi=10.1002/zaac.201200269; partition=train; ann_probability=0.9338002
BEPVAV_clean,BEPVAV,,doi=10.1039/c3sc00016h; partition=train; ann_probability=0.9417707
BEPVEZ_clean,BEPVEZ,,doi=10.1039/c3sc00016h; partition=train; ann_probability=0.95033383
BETGEO_clean,BETGEO,,doi=10.1039/C3CE27063G; partition=train; ann_probability=0.9303241
BETGUE_clean,BETGUE,,doi=10.1039/C3CE27063G; partition=train; ann_probability=0.92709184
BETHEP_clean,BETHEP,,doi=10.1039/C3CE27063G; partition=train; ann_probability=0.92954355
BETHIT_clean,BETHIT,,doi=10.1039/C3CE27063G; partition=train; ann_probability=0.9087126
BEXSAA_clean,BEXSAA,,doi=10.1039/C3CE27023H; partition=train; ann_probability=0.9449549
BEXSEE_clean,BEXSEE,,doi=10.1039/C3CE27023H; partition=train; ann_probability=0.92840147
BEXSII_clean,BEXSII,,doi=10.1039/C3CE27023H; partition=train; ann_probability=0.9051446
BEXVEH_clean,BEXVEH,,doi=10.1039/C3CE27006H; partition=train; ann_probability=0.92726135
BEYKEX_clean,BEYKEX,,doi=10.1039/c3ce26996e; partition=train; ann_probability=0.9351462
BEYSEF_clean,BEYSEF,,doi=10.1039/C3SC22207A; partition=train; ann_probability=0.9305402
BICPUA_clean,BICPUA,,doi=10.1039/C3CC43196G; partition=train; ann_probability=0.9326987
BINROH_clean,BINROH,,doi=10.1021/ic401870e; partition=train; ann_probability=0.9357389
BINRUN_clean,BINRUN,,doi=10.1021/ic401870e; partition=train; ann_probability=0.9152403
BINSAU_clean,BINSAU,,doi=10.1021/ic401870e; partition=train; ann_probability=0.91630685
BIPSUQ_clean,BIPSUQ,,doi=10.1039/C3CC47542E; partition=train; ann_probability=0.9395217
BIRMUM_clean,BIRMUM,,doi=10.1039/C3CE41971A; partition=train; ann_probability=0.92134243
BIRSEC_clean,BIRSEC,,doi=10.1021/ic401912k; partition=train; ann_probability=0.9401649
BIRSIG_clean,BIRSIG,,doi=10.1021/ic401912k; partition=train; ann_probability=0.9435796
BIYSUZ_clean,BIYSUZ,,doi=10.1039/C4CE00300D; partition=train; ann_probability=0.09137726
BIYTAG_clean,BIYTAG,,doi=10.1039/C4CE00300D; partition=train; ann_probability=0.12598222
BIYVIQ_clean,BIYVIQ,,doi=10.1039/C4CE00300D; partition=train; ann_probability=0.11510897
BIZMEE_clean,BIZMEE,,doi=10.1002/chem.201402255; partition=train; ann_probability=0.13255206
BIZMII_clean,BIZMII,,doi=10.1002/chem.201402255; partition=train; ann_probability=0.12776384
BOCTEU01_clean,BOCTEU01,,doi=10.1021/ja407654n; partition=train; ann_probability=0.13742214
BOCTOE_clean,BOCTOE,,doi=10.1021/ja407654n; partition=train; ann_probability=0.14198437
BOCTOE01_clean,BOCTOE01,,doi=10.1021/ja407654n; partition=train; ann_probability=0.14089751
BOCTOE02_clean,BOCTOE02,,doi=10.1021/ja407654n; partition=train; ann_probability=0.13958001
BOCTOE03_clean,BOCTOE03,,doi=10.1021/ja407654n; partition=train; ann_probability=0.13949499
BOCTOE04_clean,BOCTOE04,,doi=10.1021/ja407654n; partition=train; ann_probability=0.1329937
BOCTOE05_clean,BOCTOE05,,doi=10.1021/ja407654n; partition=train; ann_probability=0.12837964
BONWAD_clean,BONWAD,,doi=10.1002/chem.200801948; partition=train; ann_probability=0.9149995
BOPHEV_clean,BOPHEV,,doi=10.1039/C4RA05275G; partition=train; ann_probability=0.93769443
BOPHIZ_clean,BOPHIZ,,doi=10.1039/C4RA05275G; partition=train; ann_probability=0.89978826
BOPWIO_clean,BOPWIO,,doi=10.1007/s00706-014-1289-3; partition=train; ann_probability=0.9316292
BOTLED_clean,BOTLED,,doi=10.1021/ja5069855; partition=train; ann_probability=0.9312905
BUCVIG_clean,BUCVIG,,doi=10.1002/ejic.201500069; partition=train; ann_probability=0.22632036
BURQIQ_clean,BURQIQ,,doi=10.1039/C5NJ01237F; partition=train; ann_probability=0.9104534
BUSGIG_clean,BUSGIG,,doi=10.1002/zaac.200900304; partition=train; ann_probability=0.9246516
BUSGOM_clean,BUSGOM,,doi=10.1002/zaac.200900304; partition=train; ann_probability=0.93386483
BUVHEH_clean,BUVHEH,,doi=10.1007/s10904-014-0086-0; partition=train; ann_probability=0.92484385
CAJHUS_clean,CAJHUS,,doi=10.1021/ja206891q; partition=train; ann_probability=0.94255716
CAKXET_clean,CAKXET,,doi=10.1021/ic201013v; partition=train; ann_probability=0.08655915
CAKXIX_clean,CAKXIX,,doi=10.1021/ic201013v; partition=train; ann_probability=0.084052145
CAKXOD_clean,CAKXOD,,doi=10.1021/ic201013v; partition=train; ann_probability=0.08248252
CAKXUJ_clean,CAKXUJ,,doi=10.1021/ic201013v; partition=train; ann_probability=0.08220494
CAKYAQ_clean,CAKYAQ,,doi=10.1021/ic201013v; partition=train; ann_probability=0.0887146
CAKYEU_clean,CAKYEU,,doi=10.1021/ic201013v; partition=train; ann_probability=0.08550197
CARGEI_clean,CARGEI,,doi=10.1002/anie.200462793; partition=train; ann_probability=0.921846
CAVTAW_clean,CAVTAW,,doi=10.1039/c2dt11992g; partition=train; ann_probability=0.93148065
CAWDOU02_clean,CAWDOU02,,doi=10.1021/ic0505504; partition=train; ann_probability=0.12372404
CAZNEY_clean,CAZNEY,,doi=10.1039/c2cc35399g; partition=train; ann_probability=0.8700011
CAZNUO_charged,CAZNUO,,doi=10.1039/c2cc35399g; partition=train; ann_probability=0.9144258
CEJZAU_clean,CEJZAU,,doi=10.1039/c2cc36003a; partition=train; ann_probability=0.9319036
CEKHIL_clean,CEKHIL,,doi=10.1039/c2ce26109j; partition=train; ann_probability=0.93105227
CELZIE_SL,CELZIE,,doi=10.1021/cm3025445; partition=train; ann_probability=0.9329555
CETHEQ_clean,CETHEQ,,doi=10.1039/C3CE00070B; partition=train; ann_probability=0.117559046
CEYPUT_clean,CEYPUT,,doi=10.1039/C3NJ00236E; partition=train; ann_probability=0.91494
CEZFIY_clean,CEZFIY,,doi=10.1039/c3dt00083d; partition=train; ann_probability=0.91348934
CIMTEZ_charged,CIMTEZ,,doi=10.1021/ic400598x; partition=train; ann_probability=0.89007413
CISMEY_clean,CISMEY,,doi=10.1039/C3CE41764F; partition=train; ann_probability=0.9209186
CISMIC_clean,CISMIC,,doi=10.1039/C3CE41764F; partition=train; ann_probability=0.9289988
CIYZUG_clean,CIYZUG,,doi=10.1021/cg070506u; partition=train; ann_probability=0.9272951
CIZTIP_clean,CIZTIP,,doi=10.1039/b718872b; partition=train; ann_probability=0.115177065
CODFEH_clean,CODFEH,,doi=10.1039/b717297d; partition=train; ann_probability=0.10062438
CODSOF_clean,CODSOF,,doi=10.1039/C4CE00093E; partition=train; ann_probability=0.103005975
COGNAO_clean,COGNAO,,doi=10.1039/b802809e; partition=train; ann_probability=0.9245994
COKRUR_clean,COKRUR,,doi=10.1039/c3ce41090k; partition=train; ann_probability=0.92214525
COMGUH_clean,COMGUH,,doi=10.1021/cg8003257; partition=train; ann_probability=0.9233178
COQTEJ_clean,COQTEJ,,doi=10.1039/C4SC03224A; partition=train; ann_probability=0.9214793
COSMII_clean,COSMII,,doi=10.1039/C4CE01326C; partition=train; ann_probability=0.12033492
COWXOC_clean,COWXOC,,doi=10.1021/cg8008859; partition=train; ann_probability=0.09629369
COXXIX_clean,COXXIX,,doi=10.1007/s11224-008-9383-y; partition=train; ann_probability=0.92720497
CUCSAU_clean,CUCSAU,,doi=10.1039/a909754f; partition=train; ann_probability=0.09706423
CUFFAL_clean,CUFFAL,,doi=10.1021/ja906302t; partition=train; ann_probability=0.92722166
CUFFEP_clean,CUFFEP,,doi=10.1021/ja906302t; partition=train; ann_probability=0.9264983
CUGVUX_clean,CUGVUX,,doi=10.1039/C5DT01446H; partition=train; ann_probability=0.12971061
CUIMDZ01_clean_h,CUIMDZ01,,doi=10.1021/ic010384+; partition=train; ann_probability=0.11771348
CUKVUA_clean,CUKVUA,,doi=10.1021/cg900788h; partition=train; ann_probability=0.1478681
CUKXAJ_clean,CUKXAJ,,doi=10.1021/acs.inorgchem.5b00180; partition=train; ann_probability=0.13045853
CUKXUC_clean,CUKXUC,,doi=10.1021/cg900518s; partition=train; ann_probability=0.9435878
CUKYAJ_clean,CUKYAJ,,doi=10.1021/cg900518s; partition=train; ann_probability=0.9224782
CUMJEB_clean,CUMJEB,,doi=10.1039/C5CE00939A; partition=train; ann_probability=0.9337642
CUNQUZ_clean,CUNQUZ,,doi=10.1039/C5DT01613D; partition=train; ann_probability=0.10984531
CUWNIT_clean,CUWNIT,,doi=10.1021/acs.inorgchem.5b01850; partition=train; ann_probability=0.92592895
CUYRUK_clean,CUYRUK,,doi=10.1021/cg100020t; partition=train; ann_probability=0.92524326
CUYVOI_clean,CUYVOI,,doi=10.1021/cg100032n; partition=train; ann_probability=0.92815256
DADLEC_clean,DADLEC,,doi=10.1021/acs.cgd.6b01524; partition=train; ann_probability=0.9084066
DADLIG_clean,DADLIG,,doi=10.1021/acs.cgd.6b01524; partition=train; ann_probability=0.8891363
DADLOM_clean,DADLOM,,doi=10.1021/acs.cgd.6b01524; partition=train; ann_probability=0.9090438
DADNII_clean,DADNII,,doi=10.1021/acs.cgd.6b01576; partition=train; ann_probability=0.93044627
DADNOO_clean,DADNOO,,doi=10.1021/acs.cgd.6b01576; partition=train; ann_probability=0.93265986
DADNUU_clean,DADNUU,,doi=10.1021/acs.cgd.6b01576; partition=train; ann_probability=0.9306011
DADPEG_clean,DADPEG,,doi=10.1021/acs.cgd.6b01576; partition=train; ann_probability=0.9336213
DAFJOM_clean,DAFJOM,,doi=10.1038/ncomms13645; partition=train; ann_probability=0.92669606
DAFYAN_clean,DAFYAN,,doi=10.1038/ncomms13645; partition=train; ann_probability=0.9293046
DAFYER_clean,DAFYER,,doi=10.1038/ncomms13645; partition=train; ann_probability=0.9290459
DAFYOB_clean,DAFYOB,,doi=10.1038/ncomms13645; partition=train; ann_probability=0.9364848
DALSAN_clean,DALSAN,,doi=10.1021/acs.inorgchem.6b01769; partition=train; ann_probability=0.11964366
DALSER_clean,DALSER,,doi=10.1021/acs.inorgchem.6b01769; partition=train; ann_probability=0.09511003
DALSUH_clean,DALSUH,,doi=10.1021/acs.inorgchem.6b01899; partition=train; ann_probability=0.928388
DALTAO_clean,DALTAO,,doi=10.1021/acs.inorgchem.6b01899; partition=train; ann_probability=0.926191
DANROC_clean,DANROC,,doi=10.1039/C6CE02351G; partition=train; ann_probability=0.11785594
DAWBOU_clean,DAWBOU,,doi=10.1021/cg201447c; partition=train; ann_probability=0.9353925
DAWCAH_clean,DAWCAH,,doi=10.1021/cg201447c; partition=train; ann_probability=0.94154704
DAWCOV_clean,DAWCOV,,doi=10.1021/cg201552g; partition=train; ann_probability=0.14737779
DAWDAI_clean,DAWDAI,,doi=10.1021/cg201552g; partition=train; ann_probability=0.10046521
DEJCEB_clean,DEJCEB,,doi=10.1021/cg060087l; partition=train; ann_probability=0.9241533
DEZKAW_clean,DEZKAW,,doi=10.1039/C3CE40565F; partition=train; ann_probability=0.08280218
DILXED_clean,DILXED,,doi=10.1021/cg400644k; partition=train; ann_probability=0.92076194
DIMJUG_clean,DIMJUG,,doi=10.1021/cg4009587; partition=train; ann_probability=0.9375477
DIMKIV_clean,DIMKIV,,doi=10.1021/cg4009587; partition=train; ann_probability=0.9374603
DIRPIF_clean,DIRPIF,,doi=10.1002/chem.201303086; partition=train; ann_probability=0.11665228
DIVQAB_clean,DIVQAB,,doi=10.1021/ic701412q; partition=train; ann_probability=0.090087116
DIXKOL_clean,DIXKOL,,doi=10.1039/b715808d; partition=train; ann_probability=0.91368604
DOKBUC_clean,DOKBUC,,doi=10.1039/C4DT01953A; partition=train; ann_probability=0.9257673
DOKDEN_clean,DOKDEN,,doi=10.1039/b806616g; partition=train; ann_probability=0.93390286
DOLRAZ_clean,DOLRAZ,,doi=10.1039/C4CC05991C; partition=train; ann_probability=0.9374727
DOMDAL_clean,DOMDAL,,doi=10.1039/b802196a; partition=train; ann_probability=0.09220874
DONKIC_clean,DONKIC,,doi=10.1039/C4CE01581A; partition=train; ann_probability=0.93299997
DONKOI_clean,DONKOI,,doi=10.1039/C4CE01581A; partition=train; ann_probability=0.9371208
DONXUB_clean,DONXUB,,doi=10.1002/ejic.201402552; partition=train; ann_probability=0.10073671
DOQRUY_clean,DOQRUY,,doi=10.1039/C4DT02042A; partition=train; ann_probability=0.90055466
DOYHUW_clean,DOYHUW,,doi=10.1021/cg501828u; partition=train; ann_probability=0.9105902
DOZCEC_clean,DOZCEC,,doi=10.1021/ic502116k; partition=train; ann_probability=0.91786313
DUDKEU_clean,DUDKEU,,doi=10.1021/ic502488c; partition=train; ann_probability=0.94543695
DUDKUK_clean,DUDKUK,,doi=10.1021/ic502488c; partition=train; ann_probability=0.9394338
DUFZOU_clean,DUFZOU,,doi=10.1039/b821496d; partition=train; ann_probability=0.92841876
DUGBAJ_clean,DUGBAJ,,doi=10.1039/b821496d; partition=train; ann_probability=0.9269501
DUHXIP_clean,DUHXIP,,doi=10.1039/C5CE00862J; partition=train; ann_probability=0.9219613
DUJRAD_clean,DUJRAD,,doi=10.1002/zaac.201500028; partition=train; ann_probability=0.93327296
DUKYOZ_clean,DUKYOZ,,doi=10.1021/acs.cgd.5b00083; partition=train; ann_probability=0.9243402
DUNJON_clean,DUNJON,,doi=10.1039/C5DT01560J; partition=train; ann_probability=0.1357437
DUNXUH01_clean,DUNXUH01,,doi=10.1039/C5DT01560J; partition=train; ann_probability=0.1466622
DUNXUH04_clean,DUNXUH04,,doi=10.1039/C5DT01560J; partition=train; ann_probability=0.10594857
DUPJAB_clean,DUPJAB,,doi=10.1021/acs.cgd.5b00473; partition=train; ann_probability=0.9454904
DUQSEO_clean,DUQSEO,,doi=10.1039/b919243c; partition=train; ann_probability=0.09858915
DUTKAG_clean,DUTKAG,,doi=10.1002/ejic.201500981; partition=train; ann_probability=0.9303837
EBAVIP_clean,EBAVIP,,doi=10.1021/acs.cgd.6b01352; partition=train; ann_probability=0.9305868
EBAVOV_clean,EBAVOV,,doi=10.1021/acs.cgd.6b01352; partition=train; ann_probability=0.9446645
ECAHEX_clean,ECAHEX,,doi=10.1039/c1cc14115e; partition=train; ann_probability=0.9269842
ECAHOH_clean,ECAHOH,,doi=10.1039/c1cc14115e; partition=train; ann_probability=0.926407
ECIYEU_clean,ECIYEU,,doi=10.1021/ic010292k; partition=train; ann_probability=0.113364875
ECOGEI_clean,ECOGEI,,doi=10.1021/ja0116324; partition=train; ann_probability=0.12198159
ECOLEP_clean,ECOLEP,,doi=10.1021/cg2002223; partition=train; ann_probability=0.9397452
EDADET_clean,EDADET,,doi=10.1021/ic051707v; partition=train; ann_probability=0.9104563
EDAPIK_clean_h,EDAPIK,,doi=10.1021/ja306401j; partition=train; ann_probability=0.9370078
EGUNAX_clean,EGUNAX,,doi=10.1039/C4CE00375F; partition=train; ann_probability=0.94439316
EHAFEA_clean,EHAFEA,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.09884551
EHAFIE_clean,EHAFIE,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.08639848
EHAFOK_clean,EHAFOK,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.09101963
EHAFUQ_clean,EHAFUQ,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.08913657
EHAGEB_clean,EHAGEB,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.0872131
EHAGOL_clean,EHAGOL,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.09477228
EHAGUR_clean,EHAGUR,,doi=10.1002/cplu.201402121; partition=train; ann_probability=0.09150243
EJONOH_clean,EJONOH,,doi=10.1039/c000586j; partition=train; ann_probability=0.12209806
EKOPEA_clean,EKOPEA,,doi=10.1039/c0dt00390e; partition=train; ann_probability=0.14360064
EKOPIE_clean,EKOPIE,,doi=10.1039/c0dt00390e; partition=train; ann_probability=0.109672934
EKOPUQ_clean,EKOPUQ,,doi=10.1039/c0dt00390e; partition=train; ann_probability=0.1153591
ELUJAY_clean,ELUJAY,,doi=10.1039/C6DT01360K; partition=train; ann_probability=0.9121852
EMIFOW_clean,EMIFOW,,doi=10.1002/anie.201006531; partition=train; ann_probability=0.10817793
EMIGEN_charged,EMIGEN,,doi=10.1002/anie.201006531; partition=train; ann_probability=0.115271956
EMIGOX_clean,EMIGOX,,doi=10.1002/anie.201006531; partition=train; ann_probability=0.10760245
EMIGUD_charged,EMIGUD,,doi=10.1002/anie.201006531; partition=train; ann_probability=0.11213666
ENESOH_clean,ENESOH,,doi=10.1039/C6CE01035K; partition=train; ann_probability=0.12073535
ENESUN_clean,ENESUN,,doi=10.1039/C6CE01035K; partition=train; ann_probability=0.13220105
ENIHUG_clean,ENIHUG,,doi=10.1002/advs.201600048; partition=train; ann_probability=0.10477638
ENISOK_clean,ENISOK,,doi=10.1021/cg1008768; partition=train; ann_probability=0.5192447
ENISUQ_clean,ENISUQ,,doi=10.1021/cg1008768; partition=train; ann_probability=0.29100463
ENITAX_clean,ENITAX,,doi=10.1021/cg1008768; partition=train; ann_probability=0.2885658
ENITEB_clean,ENITEB,,doi=10.1021/cg1008768; partition=train; ann_probability=0.52014315
ENITIF_clean,ENITIF,,doi=10.1021/cg1008768; partition=train; ann_probability=0.38583124
EQETAX_clean,EQETAX,,doi=10.1039/C5CE00612K; partition=train; ann_probability=0.9245883
EQOXIT_clean,EQOXIT,,doi=10.1039/C6CE01007E; partition=train; ann_probability=0.8896822
ERAHOV_clean,ERAHOV,,doi=10.1039/c0dt01772h; partition=train; ann_probability=0.13323551
EREFEN01_SL,EREFEN01,,doi=10.1002/zaac.201200048; partition=train; ann_probability=0.9134924
ERIWAF_clean,ERIWAF,,doi=10.1039/C6DT02150F; partition=train; ann_probability=0.93921137
ERUNOW_clean,ERUNOW,,doi=10.1002/chem.201601826; partition=train; ann_probability=0.9325836
ESEDIQ_clean,ESEDIQ,,doi=10.1039/c1cc10272a; partition=train; ann_probability=0.8895916
ETAXUT_clean,ETAXUT,,doi=10.1039/c1ce05354j; partition=train; ann_probability=0.92556345
ETECIR_clean,ETECIR,,doi=10.1021/acs.inorgchem.6b01341; partition=train; ann_probability=0.9345714
ETEJOD_clean,ETEJOD,,doi=10.1039/c1ce05069a; partition=train; ann_probability=0.9386454
ETEKAQ_clean,ETEKAQ,,doi=10.1039/c1ce05069a; partition=train; ann_probability=0.9394747
ETEKEU_clean,ETEKEU,,doi=10.1039/c1ce05069a; partition=train; ann_probability=0.94391644
ETIXEM_clean,ETIXEM,,doi=10.1021/acscentsci.6b00168; partition=train; ann_probability=0.15599877
