structure_id,label_id,join_key,notes
ARAHIM02_clean,ARAHIM02:38,ARAHIM02_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ARUCOH01_clean,ARUCOH01:39,ARUCOH01_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ARUCUN_clean,ARUCUN:40,ARUCUN_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ARUDAU_clean,ARUDAU:41,ARUDAU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASACON_clean,ASACON:42,ASACON_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASADAA_clean,ASADAA:43,ASADAA_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASAJOU_clean,ASAJOU:44,ASAJOU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASECUY_clean,ASECUY:45,ASECUY_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASINAT_clean,ASINAT:46,ASINAT_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASINEX_clean,ASINEX:47,ASINEX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASINIB_clean,ASINIB:48,ASINIB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ASIVAB_clean,ASIVAB:49,ASIVAB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATIBAG_clean,ATIBAG:50,ATIBAG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATIBIO_clean,ATIBIO:51,ATIBIO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATIBOU_clean,ATIBOU:52,ATIBOU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATIBUA_clean,ATIBUA:53,ATIBUA_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATICEL_clean,ATICEL:54,ATICEL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATOGEV_clean,ATOGEV:55,ATOGEV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATOWIQ_clean,ATOWIQ:56,ATOWIQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ATOWOW_clean,ATOWOW:57,ATOWOW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AVELUJ_clean,AVELUJ:58,AVELUJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AVEMAQ_clean,AVEMAQ:59,AVEMAQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AVESAW_clean,AVESAW:60,AVESAW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AVUPIR_SL,AVUPIR:61,AVUPIR_SL,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AWAJIT_clean,AWAJIT:62,AWAJIT_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AWAWUR_clean,AWAWUR:63,AWAWUR_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AWIBAL_clean,AWIBAL:64,AWIBAL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AWUPAL_clean,AWUPAL:65,AWUPAL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AXUHAD_clean,AXUHAD:66,AXUHAD_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AYOQEM_clean,AYOQEM:67,AYOQEM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AZAVOO_clean,AZAVOO:68,AZAVOO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AZAVUU_clean,AZAVUU:69,AZAVUU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AZILEA_clean,AZILEA:70,AZILEA_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAKGIF_manual,BAKGIF:71,BAKGIF_manual,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAKJEE_clean,BAKJEE:72,BAKJEE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAKJII_clean,BAKJII:73,BAKJII_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAXFIR01_clean,BAXFIR01:74,BAXFIR01_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAXFIR02_clean,BAXFIR02:75,BAXFIR02_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAXFUD_clean,BAXFUD:76,BAXFUD_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BAXSIE_clean,BAXSIE:77,BAXSIE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEDYEQ_clean,BEDYEQ:78,BEDYEQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFKUU_clean,BEFKUU:79,BEFKUU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFLAB01_clean,BEFLAB01:80,BEFLAB01_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFLEF_clean,BEFLEF:81,BEFLEF_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFLIJ_clean,BEFLIJ:82,BEFLIJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFLUV_clean,BEFLUV:83,BEFLUV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFMAC_clean,BEFMAC:84,BEFMAC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFMOQ_clean,BEFMOQ:85,BEFMOQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFNAD_clean,BEFNAD:86,BEFNAD_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFNEH_clean,BEFNEH:87,BEFNEH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFNIL_clean,BEFNIL:88,BEFNIL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEFNUX_clean,BEFNUX:89,BEFNUX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEJZAS_clean,BEJZAS:90,BEJZAS_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BELYIC_clean,BELYIC:91,BELYIC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEPVAV_clean,BEPVAV:92,BEPVAV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEPVEZ_clean,BEPVEZ:93,BEPVEZ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BETGEO_clean,BETGEO:94,BETGEO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BETGUE_clean,BETGUE:95,BETGUE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BETHEP_clean,BETHEP:96,BETHEP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BETHIT_clean,BETHIT:97,BETHIT_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEXSAA_clean,BEXSAA:98,BEXSAA_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEXSEE_clean,BEXSEE:99,BEXSEE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEXSII_clean,BEXSII:100,BEXSII_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEXVEH_clean,BEXVEH:101,BEXVEH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEYKEX_clean,BEYKEX:102,BEYKEX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BEYSEF_clean,BEYSEF:103,BEYSEF_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BICPUA_clean,BICPUA:104,BICPUA_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BINROH_clean,BINROH:105,BINROH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BINRUN_clean,BINRUN:106,BINRUN_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BINSAU_clean,BINSAU:107,BINSAU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIPSUQ_clean,BIPSUQ:108,BIPSUQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIRMUM_clean,BIRMUM:109,BIRMUM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIRSEC_clean,BIRSEC:110,BIRSEC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIRSIG_clean,BIRSIG:111,BIRSIG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIYSUZ_clean,BIYSUZ:112,BIYSUZ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIYTAG_clean,BIYTAG:113,BIYTAG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIYVIQ_clean,BIYVIQ:114,BIYVIQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIZMEE_clean,BIZMEE:115,BIZMEE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BIZMII_clean,BIZMII:116,BIZMII_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTEU01_clean,BOCTEU01:117,BOCTEU01_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTOE_clean,BOCTOE:118,BOCTOE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTOE01_clean,BOCTOE01:119,BOCTOE01_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTOE02_clean,BOCTOE02:120,BOCTOE02_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTOE03_clean,BOCTOE03:121,BOCTOE03_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTOE04_clean,BOCTOE04:122,BOCTOE04_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOCTOE05_clean,BOCTOE05:123,BOCTOE05_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BONWAD_clean,BONWAD:124,BONWAD_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOPHEV_clean,BOPHEV:125,BOPHEV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOPHIZ_clean,BOPHIZ:126,BOPHIZ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOPWIO_clean,BOPWIO:127,BOPWIO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BOTLED_clean,BOTLED:128,BOTLED_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BUCVIG_clean,BUCVIG:129,BUCVIG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BURQIQ_clean,BURQIQ:130,BURQIQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BUSGIG_clean,BUSGIG:131,BUSGIG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BUSGOM_clean,BUSGOM:132,BUSGOM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
BUVHEH_clean,BUVHEH:133,BUVHEH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAJHUS_clean,CAJHUS:134,CAJHUS_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAKXET_clean,CAKXET:135,CAKXET_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAKXIX_clean,CAKXIX:136,CAKXIX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAKXOD_clean,CAKXOD:137,CAKXOD_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAKXUJ_clean,CAKXUJ:138,CAKXUJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAKYAQ_clean,CAKYAQ:139,CAKYAQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAKYEU_clean,CAKYEU:140,CAKYEU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CARGEI_clean,CARGEI:141,CARGEI_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAVTAW_clean,CAVTAW:142,CAVTAW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAWDOU02_clean,CAWDOU02:143,CAWDOU02_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAZNEY_clean,CAZNEY:144,CAZNEY_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CAZNUO_charged,CAZNUO:145,CAZNUO_charged,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CEJZAU_clean,CEJZAU:146,CEJZAU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CEKHIL_clean,CEKHIL:147,CEKHIL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CELZIE_SL,CELZIE:148,CELZIE_SL,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CETHEQ_clean,CETHEQ:149,CETHEQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CEYPUT_clean,CEYPUT:150,CEYPUT_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CEZFIY_clean,CEZFIY:151,CEZFIY_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CIMTEZ_charged,CIMTEZ:152,CIMTEZ_charged,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CISMEY_clean,CISMEY:153,CISMEY_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CISMIC_clean,CISMIC:154,CISMIC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CIYZUG_clean,CIYZUG:155,CIYZUG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CIZTIP_clean,CIZTIP:156,CIZTIP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CODFEH_clean,CODFEH:157,CODFEH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CODSOF_clean,CODSOF:158,CODSOF_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COGNAO_clean,COGNAO:159,COGNAO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COKRUR_clean,COKRUR:160,COKRUR_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COMGUH_clean,COMGUH:161,COMGUH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COQTEJ_clean,COQTEJ:162,COQTEJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COSMII_clean,COSMII:163,COSMII_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COWXOC_clean,COWXOC:164,COWXOC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
COXXIX_clean,COXXIX:165,COXXIX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUCSAU_clean,CUCSAU:166,CUCSAU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUFFAL_clean,CUFFAL:167,CUFFAL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUFFEP_clean,CUFFEP:168,CUFFEP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUGVUX_clean,CUGVUX:169,CUGVUX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUIMDZ01_clean_h,CUIMDZ01:170,CUIMDZ01_clean_h,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUKVUA_clean,CUKVUA:171,CUKVUA_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUKXAJ_clean,CUKXAJ:172,CUKXAJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUKXUC_clean,CUKXUC:173,CUKXUC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUKYAJ_clean,CUKYAJ:174,CUKYAJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUMJEB_clean,CUMJEB:175,CUMJEB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUNQUZ_clean,CUNQUZ:176,CUNQUZ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUWNIT_clean,CUWNIT:177,CUWNIT_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUYRUK_clean,CUYRUK:178,CUYRUK_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
CUYVOI_clean,CUYVOI:179,CUYVOI_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADLEC_clean,DADLEC:180,DADLEC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADLIG_clean,DADLIG:181,DADLIG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADLOM_clean,DADLOM:182,DADLOM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADNII_clean,DADNII:183,DADNII_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADNOO_clean,DADNOO:184,DADNOO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADNUU_clean,DADNUU:185,DADNUU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DADPEG_clean,DADPEG:186,DADPEG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAFJOM_clean,DAFJOM:187,DAFJOM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAFYAN_clean,DAFYAN:188,DAFYAN_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAFYER_clean,DAFYER:189,DAFYER_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAFYOB_clean,DAFYOB:190,DAFYOB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DALSAN_clean,DALSAN:191,DALSAN_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DALSER_clean,DALSER:192,DALSER_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DALSUH_clean,DALSUH:193,DALSUH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DALTAO_clean,DALTAO:194,DALTAO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DANROC_clean,DANROC:195,DANROC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAWBOU_clean,DAWBOU:196,DAWBOU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAWCAH_clean,DAWCAH:197,DAWCAH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAWCOV_clean,DAWCOV:198,DAWCOV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DAWDAI_clean,DAWDAI:199,DAWDAI_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DEJCEB_clean,DEJCEB:200,DEJCEB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DEZKAW_clean,DEZKAW:201,DEZKAW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DILXED_clean,DILXED:202,DILXED_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DIMJUG_clean,DIMJUG:203,DIMJUG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DIMKIV_clean,DIMKIV:204,DIMKIV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DIRPIF_clean,DIRPIF:205,DIRPIF_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DIVQAB_clean,DIVQAB:206,DIVQAB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DIXKOL_clean,DIXKOL:207,DIXKOL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOKBUC_clean,DOKBUC:208,DOKBUC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOKDEN_clean,DOKDEN:209,DOKDEN_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOLRAZ_clean,DOLRAZ:210,DOLRAZ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOMDAL_clean,DOMDAL:211,DOMDAL_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DONKIC_clean,DONKIC:212,DONKIC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DONKOI_clean,DONKOI:213,DONKOI_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DONXUB_clean,DONXUB:214,DONXUB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOQRUY_clean,DOQRUY:215,DOQRUY_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOYHUW_clean,DOYHUW:216,DOYHUW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DOZCEC_clean,DOZCEC:217,DOZCEC_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUDKEU_clean,DUDKEU:218,DUDKEU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUDKUK_clean,DUDKUK:219,DUDKUK_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUFZOU_clean,DUFZOU:220,DUFZOU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUGBAJ_clean,DUGBAJ:221,DUGBAJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUHXIP_clean,DUHXIP:222,DUHXIP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUJRAD_clean,DUJRAD:223,DUJRAD_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUKYOZ_clean,DUKYOZ:224,DUKYOZ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUNJON_clean,DUNJON:225,DUNJON_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUNXUH01_clean,DUNXUH01:226,DUNXUH01_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUNXUH04_clean,DUNXUH04:227,DUNXUH04_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUPJAB_clean,DUPJAB:228,DUPJAB_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUQSEO_clean,DUQSEO:229,DUQSEO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
DUTKAG_clean,DUTKAG:230,DUTKAG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
EBAVIP_clean,EBAVIP:231,EBAVIP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
EBAVOV_clean,EBAVOV:232,EBAVOV_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ECAHEX_clean,ECAHEX:233,ECAHEX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ECAHOH_clean,ECAHOH:234,ECAHOH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ECIYEU_clean,ECIYEU:235,ECIYEU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ECOGEI_clean,ECOGEI:236,ECOGEI_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ECOLEP_clean,ECOLEP:237,ECOLEP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
EDADET_clean,EDADET:238,EDADET_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
